scenario_id,node,method,rank,score
auto_001,45,orc_min,19.0,0.22222222222222232
auto_001,46,orc_min,22.0,0.2142857142857144
auto_001,47,orc_min,77.5,-1.1102230246251565e-16
auto_001,48,orc_min,6.0,0.3173076923076923
auto_001,49,orc_min,92.0,-0.05555555555555558
auto_001,50,orc_min,84.5,-0.030769230769230438
auto_001,51,orc_min,8.5,0.3000000000000005
auto_001,52,orc_min,15.5,0.2833333333333332
auto_001,53,orc_min,45.5,0.125
auto_001,54,orc_min,28.0,0.1868131868131866
auto_001,55,orc_min,17.0,0.2250000000000003
auto_001,56,orc_min,54.0,0.07500000000000018
auto_001,57,orc_min,54.0,0.07500000000000018
auto_001,58,orc_min,84.5,-0.030769230769230438
auto_001,59,orc_min,62.5,0.05882352941176472
auto_001,60,orc_min,87.0,-0.03632478632478631
auto_001,61,orc_min,81.0,-0.020242914979757387
auto_001,62,orc_min,59.0,0.06315789473684208
auto_001,63,orc_min,39.0,0.14642857142857157
auto_001,64,orc_min,100.0,-0.19285714285714306
auto_001,65,orc_min,68.0,0.041353383458646364
auto_001,66,orc_min,10.0,0.30000000000000004
auto_001,67,orc_min,27.0,0.18681318681318704
auto_001,68,orc_min,82.5,-0.023809523809523836
auto_001,69,orc_min,90.0,-0.04761904761904778
auto_001,70,orc_min,82.5,-0.023809523809523836
auto_001,71,orc_min,24.5,0.19444444444444442
auto_001,72,orc_min,13.5,0.2857142857142856
auto_001,73,orc_min,45.5,0.125
auto_001,74,orc_min,60.0,0.06190476190476213
auto_001,75,orc_min,11.5,0.29166666666666674
auto_001,76,orc_min,70.5,0.03333333333333344
auto_001,77,orc_min,95.0,-0.10000000000000009
auto_001,78,orc_min,23.0,0.20000000000000018
auto_001,79,orc_min,88.0,-0.03750000000000009
auto_001,80,orc_min,64.0,0.0588235294117645
auto_001,81,orc_min,72.0,0.0277777777777779
auto_001,82,orc_min,24.5,0.19444444444444442
auto_001,83,orc_min,79.5,-0.013157894736842257
auto_001,84,orc_min,8.5,0.3000000000000005
auto_001,85,orc_min,73.0,0.0264705882352938
auto_001,86,orc_min,76.0,-0.0
auto_001,87,orc_min,54.0,0.07500000000000018
auto_001,88,orc_min,40.0,0.14583333333333326
auto_001,89,orc_min,79.5,-0.013157894736842257
auto_001,90,orc_min,99.0,-0.18055555555555547
auto_001,91,orc_min,43.0,0.13333333333333353
auto_001,92,orc_min,13.5,0.2857142857142856
